Team,City,Country,Stadium,Capacity,Pitch
Olympique,Marseille,France,Stade Vélodrome,67394,Natural
Montpellier,Montpellier,France,Stade de la Mosson,32950,Natural
Toulouse,Toulouse,France,Stadium Municipal,35472,Natural
Sporting Toulon,Toulon,France,Stade de Bon-Rencontre,8000,
Nantes,Nantes,France,Stade de la Beaujoire - Louis Fonteneau,38285,Natural
Lille,Lille,France,Stade Pierre-Mauroy,49834,Natural
Sochaux,Sochaux,France,Stade Auguste-Bonal,20005,Natural
PSG,Paris,France,Parc des Princes,49691,Natural
Nice,Nice,France,Allianz Riviera,35624,Natural
Girondins Bordeaux,Bordeaux,France,Stade Matmut-Atlantique,42115,Natural
Metz,Metz,France,Stade Saint-Symphorien,26661,Natural
Monaco,Principado de Mónaco,France,Louis II,18521,Natural
Racing Paris,París,France,,"14,000",Grass
Auxerre,Auxerre,France,Stade de l'Abbé Deschamps,23467,Natural
Caen,Caen,France,Stade Michel d'Ornano,21215,Natural
Stade Brestois,26 route de Quimper29200 Brest,France,Stade Francis-Le Blé,15931,Natural
Saint-Étienne,Saint-Étienne,France,Stade Geoffroy-Guichard,42000,Natural
Cannes,Cannes,France,Stade Pierre de Coubertin,12800,
Olympique Lyonnais,Lyon,France,Parc Olympique Lyonnais,59168,Natural
FC Mulhouse,Mulhouse,France,Stade de l'Ill,11303,Grass
Stade Rennais,Rennes,France,Roazhon Park,31127,Natural
Nancy,Tomblaine,France,Stade Marcel Picot,20087,Césped Artificial
Le Havre,Havre,France,Stade Océane,25178,Natural
Nîmes,Nimes,France,Stade des Costières,18482,Natural
Lens,Lens,France,Stade Bollaert-Delelis,38223,Natural
Strasbourg,Strasbourg,France,Stade de la Meinau,29230,Natural
Valenciennes,Valenciennes,France,Stade du Hainaut,24926,Natural
FC Martigues,Martigues,France,Stade Francis Turcan,11500,grass
Angers SCO,Angers,France,Stade Raymond-Kopa,17835,AirFibr 
Bastia,Bastia,France,Stade Armand Césari,16078,Natural
Guingamp,Guingamp,France,Stade du Roudourou,18363,Natural
FC Gueugnon,Gueugnon,France,Stade Jean Laville,13872,grass
Chateauroux,Châteauroux,France,Stade Gaston Petit,17072,Césped Artificial
Lorient,Lorient,France,Stade Yves Allainmat - Le Moustoir,18970,Césped Artificial
